Stethoscope	ECG
-0.0369263	0.127258
-0.00823975	0.126038
0.0213623	0.124207
0.0466919	0.122681
0.0515747	0.120544
0.0424194	0.119019
0.0473022	0.119019
0.0283813	0.120239
-0.00152588	0.122375
-0.0366211	0.124207
-0.0683594	0.125122
-0.0653076	0.124817
-0.0588989	0.124512
-0.0454712	0.125427
-0.0259399	0.127563
-0.00305176	0.128784
0.0292969	0.128479
0.0482178	0.126038
0.0570679	0.12207
0.0521851	0.117188
0.045166	0.113831
0.0460815	0.110779
0.0323486	0.108337
0.0167847	0.106506
-0.0415039	0.105591
-0.114136	0.105896
-0.143738	0.107117
-0.110474	0.108948
-0.00579834	0.111084
0.0924683	0.113525
0.143127	0.115967
0.153198	0.117493
0.112305	0.117493
0.0610352	0.115662
-0.00732422	0.11322
-0.0604248	0.111084
-0.0796509	0.110474
-0.0814819	0.111389
-0.0570679	0.112305
-0.0473022	0.11322
-0.039978	0.113831
-0.032959	0.115051
-0.0189209	0.118103
0.027771	0.12085
0.0534058	0.12085
0.0531006	0.118408
0.0241089	0.114441
-0.00854492	0.110779
-0.0131226	0.107727
-0.0186157	0.105896
0.00305176	0.104065
0.0192261	0.101929
0.0143433	0.100708
0.00518799	0.101318
-0.022583	0.102844
-0.0234985	0.105286
-0.0170898	0.107422
-0.00701904	0.109253
0.0109863	0.110474
0.0119019	0.111389
0.0219727	0.113525
0.0100708	0.117493
-0.0112915	0.122986
-0.0305176	0.130615
-0.0415039	0.140076
-0.00793457	0.151672
0.0195313	0.164795
0.0405884	0.177917
0.0415039	0.189209
0.0216675	0.197754
0.000610352	0.204163
-0.0302124	0.209045
-0.0363159	0.213623
-0.0234985	0.21759
-0.0152588	0.221863
-0.00579834	0.228882
0.00732422	0.239868
0.0256348	0.253906
0.032959	0.26886
0.020752	0.284119
0.0256348	0.299683
0.0115967	0.314636
-0.0164795	0.326843
-0.0262451	0.335388
-0.0497437	0.33844
-0.0576782	0.336609
-0.0543213	0.331116
-0.0418091	0.32196
0.00427246	0.310059
0.0436401	0.29541
0.06073	0.279236
0.0637817	0.261841
0.0515747	0.242615
0.0274658	0.221252
0.00244141	0.198059
-0.00244141	0.17395
0.00183105	0.150146
0.000610352	0.126953
-0.0222778	0.10498
-0.0384521	0.085144
-0.0222778	0.0680542
-0.00335693	0.055542
0.00549316	0.0466919
-0.0115967	0.0415039
