L I	L III	L II(Calc.)
-0.0292969	0.0994873	0.0701904
-0.0302124	0.112	0.0817871
-0.0320435	0.124512	0.0924683
-0.0338745	0.137024	0.103149
-0.03479	0.14679	0.112
-0.0341797	0.151978	0.117798
-0.0326538	0.151367	0.118713
-0.0308228	0.146179	0.115356
-0.0296021	0.137939	0.108337
-0.0296021	0.128174	0.0985718
-0.0305176	0.118103	0.0875854
-0.0326538	0.107117	0.0744629
-0.0354004	0.0949097	0.0595093
-0.038147	0.0814819	0.043335
-0.0408936	0.0668335	0.0259399
-0.0424194	0.050354	0.00793457
-0.0430298	0.032959	-0.0100708
-0.0439453	0.0161743	-0.027771
-0.0457764	-0.000305176	-0.0460815
-0.0469971	-0.0167847	-0.0637817
-0.0469971	-0.032959	-0.0799561
-0.0457764	-0.0482178	-0.0939941
-0.0442505	-0.0616455	-0.105896
-0.0439453	-0.0723267	-0.116272
-0.0445557	-0.0793457	-0.123901
-0.0454712	-0.083313	-0.128784
-0.0469971	-0.0842285	-0.131226
-0.0485229	-0.0830078	-0.131531
-0.0506592	-0.0802612	-0.13092
-0.0527954	-0.0765991	-0.129395
-0.0543213	-0.0744629	-0.128784
-0.0546265	-0.0747681	-0.129395
-0.0543213	-0.0778198	-0.132141
-0.0521851	-0.0848389	-0.137024
-0.0491333	-0.0952148	-0.144348
-0.0448608	-0.109558	-0.154419
-0.0393677	-0.126648	-0.166016
-0.03479	-0.143127	-0.177917
-0.0305176	-0.15625	-0.186768
-0.0250244	-0.163269	-0.188293
-0.0189209	-0.163269	-0.18219
-0.0128174	-0.153198	-0.166016
-0.00671387	-0.13031	-0.137024
-0.000305176	-0.0927734	-0.0930786
0.00640869	-0.0405884	-0.0341797
0.0125122	0.0262451	0.0387573
0.0183105	0.106812	0.125122
0.0231934	0.2005	0.223694
0.0280762	0.30426	0.332336
0.0350952	0.410461	0.445557
0.045166	0.509644	0.55481
0.0576782	0.596008	0.653687
0.0708008	0.667419	0.73822
0.0827026	0.72052	0.803223
0.0918579	0.750427	0.842285
0.0985718	0.751648	0.85022
0.101929	0.721741	0.823669
0.0994873	0.664368	0.763855
0.088501	0.584412	0.672913
0.0683594	0.488586	0.556946
0.0415039	0.38269	0.424194
0.0112915	0.274048	0.285339
-0.0186157	0.168762	0.150146
-0.0454712	0.0723267	0.0268555
-0.067749	-0.0109863	-0.0787354
-0.0827026	-0.0778198	-0.160522
-0.0894165	-0.126953	-0.21637
-0.0878906	-0.159302	-0.247192
-0.0787354	-0.176697	-0.255432
-0.0650024	-0.18219	-0.247192
-0.0491333	-0.178833	-0.227966
-0.0332642	-0.171509	-0.204773
-0.020752	-0.161743	-0.182495
-0.0134277	-0.151367	-0.164795
-0.0106812	-0.142517	-0.153198
-0.0128174	-0.134888	-0.147705
-0.0180054	-0.1297	-0.147705
-0.0247192	-0.126953	-0.151672
-0.0317383	-0.126648	-0.158386
-0.0372314	-0.127563	-0.164795
-0.0408936	-0.129395	-0.170288
-0.0424194	-0.13092	-0.17334
-0.0430298	-0.131836	-0.174866
-0.0427246	-0.131226	-0.17395
-0.0424194	-0.130005	-0.172424
-0.0415039	-0.128479	-0.169983
-0.0402832	-0.126648	-0.166931
-0.0402832	-0.123901	-0.164185
-0.0415039	-0.12085	-0.162354
-0.0421143	-0.119324	-0.161438
-0.0411987	-0.120239	-0.161438
-0.0396729	-0.12207	-0.161743
-0.0378418	-0.124512	-0.162354
-0.0363159	-0.126648	-0.162964
-0.0338745	-0.129089	-0.162964
-0.0311279	-0.131836	-0.162964
-0.027771	-0.134583	-0.162354
-0.0244141	-0.136414	-0.160828
-0.0213623	-0.136719	-0.158081
-0.0198364	-0.136108	-0.155945
-0.0198364	-0.134277	-0.154114
-0.020752	-0.131836	-0.152588
-0.022583	-0.129089	-0.151672
-0.0250244	-0.126343	-0.151367
-0.0271606	-0.123901	-0.151062
-0.0296021	-0.12207	-0.151672
-0.0317383	-0.12146	-0.153198
-0.032959	-0.121155	-0.154114
-0.0335693	-0.12146	-0.155029
-0.0335693	-0.121155	-0.154724
-0.0335693	-0.12085	-0.154419
-0.0335693	-0.120544	-0.154114
-0.0335693	-0.119934	-0.153503
-0.0338745	-0.118713	-0.152588
-0.0335693	-0.117798	-0.151367
-0.0311279	-0.117798	-0.148926
-0.0280762	-0.119019	-0.147095
-0.0256348	-0.120544	-0.146179
-0.0238037	-0.121765	-0.145569
-0.022583	-0.122681	-0.145264
-0.0204468	-0.124207	-0.144653
-0.0177002	-0.126038	-0.143738
-0.0149536	-0.127563	-0.142517
-0.0128174	-0.128174	-0.140991
-0.0115967	-0.128174	-0.139771
-0.0109863	-0.126648	-0.137634
-0.010376	-0.124817	-0.135193
-0.00976563	-0.122986	-0.132751
-0.0106812	-0.12146	-0.132141
-0.0115967	-0.119934	-0.131531
-0.0115967	-0.119324	-0.13092
-0.0109863	-0.119324	-0.13031
-0.0100708	-0.120239	-0.13031
-0.00823975	-0.12207	-0.13031
-0.00549316	-0.124512	-0.130005
-0.00183105	-0.126953	-0.128784
0.00183105	-0.128479	-0.126648
0.00549316	-0.129395	-0.123901
0.00915527	-0.129395	-0.120239
0.012207	-0.129089	-0.116882
0.0152588	-0.128479	-0.11322
0.0177002	-0.128174	-0.110474
0.0198364	-0.127563	-0.107727
0.0210571	-0.126953	-0.105896
0.0222778	-0.126648	-0.10437
0.0228882	-0.126648	-0.10376
0.0234985	-0.126648	-0.103149
0.0250244	-0.127563	-0.102539
0.027771	-0.129089	-0.101318
0.0311279	-0.131226	-0.100098
0.0341797	-0.132751	-0.0985718
0.0363159	-0.134277	-0.0979614
0.038147	-0.136108	-0.0979614
0.0402832	-0.137939	-0.0976563
0.0427246	-0.140381	-0.0976563
0.0448608	-0.143127	-0.0982666
0.0466919	-0.146484	-0.0997925
0.0476074	-0.149536	-0.101929
0.0482178	-0.152893	-0.104675
0.0488281	-0.15564	-0.106812
0.0494385	-0.157776	-0.108337
0.050354	-0.158691	-0.108337
0.0512695	-0.158997	-0.107727
0.0527954	-0.158997	-0.106201
0.0537109	-0.158997	-0.105286
0.0540161	-0.158081	-0.104065
0.0543213	-0.156555	-0.102234
0.0540161	-0.154114	-0.100098
0.0531006	-0.151062	-0.0979614
0.0518799	-0.148315	-0.0964355
0.050354	-0.145569	-0.0952148
0.0494385	-0.142212	-0.0927734
0.0488281	-0.13855	-0.0897217
0.0473022	-0.134277	-0.0869751
0.0445557	-0.129089	-0.0845337
0.0408936	-0.123291	-0.0823975
0.0369263	-0.117188	-0.0802612
0.0323486	-0.110168	-0.0778198
0.0280762	-0.103149	-0.0750732
0.0241089	-0.0973511	-0.0732422
0.0201416	-0.0921631	-0.0720215
0.0152588	-0.0872803	-0.0720215
0.0100708	-0.0814819	-0.0714111
0.00427246	-0.0750732	-0.0708008
-0.00244141	-0.0683594	-0.0708008
-0.00915527	-0.0619507	-0.071106
-0.0149536	-0.0567627	-0.0717163
-0.0195313	-0.0524902	-0.0720215
-0.0234985	-0.0491333	-0.0726318
-0.0271606	-0.0454712	-0.0726318
-0.0305176	-0.0421143	-0.0726318
-0.0326538	-0.0387573	-0.0714111
-0.0344849	-0.0363159	-0.0708008
-0.0357056	-0.0354004	-0.071106
-0.0366211	-0.0350952	-0.0717163
-0.0378418	-0.0350952	-0.072937
-0.0393677	-0.03479	-0.0741577
-0.0415039	-0.0335693	-0.0750732
-0.0439453	-0.0332642	-0.0772095
-0.0469971	-0.0335693	-0.0805664
-0.0497437	-0.0341797	-0.0839233
-0.0521851	-0.03479	-0.0869751
-0.0549316	-0.0354004	-0.090332
-0.0564575	-0.0363159	-0.0927734
-0.0567627	-0.038147	-0.0949097
-0.0570679	-0.0390625	-0.0961304
-0.0582886	-0.0393677	-0.0976563
-0.0598145	-0.0396729	-0.0994873
-0.0619507	-0.0393677	-0.101318
-0.062561	-0.0387573	-0.101318
-0.0622559	-0.0375366	-0.0997925
-0.0616455	-0.0354004	-0.0970459
-0.0616455	-0.0332642	-0.0949097
-0.0613403	-0.0317383	-0.0930786
-0.0610352	-0.0311279	-0.0921631
-0.06073	-0.0311279	-0.0918579
-0.0598145	-0.0314331	-0.0912476
-0.0576782	-0.0317383	-0.0894165
-0.0561523	-0.0332642	-0.0894165
-0.055542	-0.0350952	-0.0906372
-0.055542	-0.0369263	-0.0924683
-0.0558472	-0.0378418	-0.093689
-0.0561523	-0.038147	-0.0942993
-0.0561523	-0.0384521	-0.0946045
-0.0564575	-0.0387573	-0.0952148
-0.0570679	-0.038147	-0.0952148
-0.0576782	-0.0372314	-0.0949097
-0.0570679	-0.0357056	-0.0927734
-0.0558472	-0.0335693	-0.0894165
-0.0549316	-0.0311279	-0.0860596
-0.0540161	-0.0286865	-0.0827026
-0.0540161	-0.0265503	-0.0805664
-0.0549316	-0.0247192	-0.0796509
-0.055542	-0.0238037	-0.0793457
-0.0558472	-0.0238037	-0.0796509
-0.055542	-0.0238037	-0.0793457
-0.0564575	-0.0231934	-0.0796509
